		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/17/24	12:00 a	-0.4	-0.4	-0.5	80	-3.5	0.0	---	0.00	0.0	---	-0.4	-0.6	-0.6	---	1003.1	0.00	1.0	---	---	---	0.130	0.000	21.1	34	4.6	19.3	6.85	1.1783	0.00	207	6	100.0	10
01/17/24	12:10 a	-0.3	-0.3	-0.4	82	-3.0	0.0	---	0.00	0.0	---	-0.3	-0.5	-0.5	---	1002.9	0.00	0.0	---	---	---	0.130	0.000	20.8	34	4.4	19.1	6.85	1.1792	0.00	207	6	100.0	10
01/17/24	12:20 a	-0.3	-0.3	-0.3	82	-3.0	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1002.5	0.25	0.0	---	---	---	0.129	0.000	20.6	34	4.2	18.9	6.85	1.1797	0.00	207	6	100.0	10
01/17/24	12:30 a	-0.3	-0.3	-0.3	83	-2.8	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1002.4	0.00	0.0	---	---	---	0.129	0.000	20.4	34	4.0	18.7	6.85	1.1806	0.00	208	6	100.0	10
01/17/24	12:40 a	-0.3	-0.3	-0.3	83	-2.9	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1002.2	0.00	0.0	---	---	---	0.130	0.000	20.2	34	3.8	18.5	6.85	1.1814	0.00	208	6	100.0	10
01/17/24	12:50 a	-0.3	-0.3	-0.4	85	-2.5	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1002.1	0.00	0.0	---	---	---	0.130	0.000	19.9	34	3.6	18.3	6.85	1.1825	0.00	206	6	100.0	10
01/17/24	1:00 a	-0.3	-0.3	-0.3	87	-2.2	0.0	ESE	0.00	0.9	ESE	-0.3	-0.4	-0.4	---	1001.9	0.00	0.0	---	---	---	0.130	0.000	19.7	34	3.4	18.0	6.85	1.1834	0.00	209	6	100.0	10
01/17/24	1:10 a	-0.3	-0.3	-0.3	88	-2.0	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1001.9	0.25	0.0	---	---	---	0.129	0.000	19.4	34	3.1	17.7	6.85	1.1846	0.00	207	6	100.0	10
01/17/24	1:20 a	-0.3	-0.2	-0.3	89	-1.9	0.0	---	0.00	0.0	---	-0.3	-0.4	-0.4	---	1001.7	0.25	1.5	---	---	---	0.129	0.000	19.1	35	3.3	17.4	7.05	1.1854	0.00	207	6	100.0	10
01/17/24	1:30 a	-0.2	-0.2	-0.3	89	-1.8	0.0	ESE	0.00	1.3	ESE	-0.2	-0.3	-0.3	---	1001.5	0.25	1.5	---	---	---	0.129	0.000	18.9	35	3.1	17.2	7.05	1.1861	0.00	206	6	100.0	10
